,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,acc_co2al2,acc_al2,acc_coal2
0,0,0,0,0.8578661166322895,0.8573035814738421,0.860866304144009
1,1,1,1,0.8591786986686668,0.8584286517907369,0.860866304144009
2,2,2,2,0.8618038627414213,0.8633039564972811,0.8633039564972811
3,3,3,3,0.8612413275829739,0.860866304144009,0.8638664916557285
4,4,4,4,0.8614288393024564,0.8631164447777986,0.8621788861803863
5,5,5,5,0.8631164447777986,0.8614288393024564,0.8603037689855616
6,6,6,6,0.8618038627414213,0.8599287455465967,0.8616163510219389
7,7,7,7,0.8623663978998687,0.8621788861803863,0.8631164447777986
8,8,8,8,0.8618038627414213,0.8597412338271142,0.8625539096193512
9,9,9,9,0.860866304144009,0.8606787924245265,0.8638664916557285
10,10,10,10,0.8601162572660791,0.8599287455465967,0.8638664916557285
11,11,11,11,0.860866304144009,0.8612413275829739,0.8653665854115882
12,12,12,12,0.8625539096193512,0.8638664916557285,0.8648040502531408
13,13,13,13,0.8629289330583162,0.860866304144009,0.8655540971310707
14,14,14,14,0.8634914682167636,0.8627414213388337,0.8653665854115882
15,15,15,15,0.8646165385336584,0.8614288393024564,0.8629289330583162
16,16,16,16,0.864054003375211,0.8618038627414213,0.8610538158634915
17,17,17,17,0.863678979936246,0.8610538158634915,0.8631164447777986
18,18,18,18,0.8644290268141759,0.8619913744609038,0.8661166322895181
19,19,19,19,0.8646165385336584,0.8616163510219389,0.8633039564972811
20,20,20,20,0.8646165385336584,0.8610538158634915,0.8638664916557285
